camera_link,track_id,user_id,date,time,x_center,y_center,width,height
0,1,2,2024-12-17,20:04:40,612.2784423828125,441.2273864746094,894.646728515625,712.8359985351562
0,1,2,2024-12-17,20:04:41,606.4631639873525,441.12836954428064,905.6184082687702,711.142356180986
0,1,2,2024-12-17,20:04:41,603.4853853266823,441.0709331818427,911.7456596894008,711.245605101298
0,1,2,2024-12-17,20:04:41,610.9460590182655,441.2805664725866,896.9931045826124,710.9938968955322
0,1,2,2024-12-17,20:04:41,615.8238931918817,441.1434490572421,887.0308219504662,710.6193228106958
0,1,2,2024-12-17,20:04:41,619.0378995456284,441.26604194881935,880.8656364054611,710.4470931751383
0,1,2,2024-12-17,20:04:42,616.7469414599573,441.1234445560172,885.3508353606105,710.6190777634374
0,1,2,2024-12-17,20:04:42,612.6945451878568,440.82704278114784,893.2102856126282,711.2652723072499
0,1,2,2024-12-17,20:04:42,610.04485953322,440.8489672543192,897.7421082463355,711.5339599587709
0,1,2,2024-12-17,20:04:42,612.7346358487085,440.9991824441686,891.0250199963676,711.2814330455462
0,1,2,2024-12-17,20:04:42,612.9307896095812,443.7350632051046,882.1336705118313,705.602351256741
0,1,2,2024-12-17,20:04:43,605.8171731924211,446.46583966202877,866.9066809753385,700.1498267676565
0,1,2,2024-12-17,20:04:43,603.7191152092299,450.44940306037034,857.4890576563237,688.8565967115577
0,1,2,2024-12-17,20:04:43,602.2528585668397,453.84349098884144,857.299168838484,682.4573354579582
0,1,2,2024-12-17,20:04:43,603.8599082809656,458.81471289053997,831.02546127668,674.654711839607
0,1,2,2024-12-17,20:04:43,590.2680611740562,462.1758631478853,849.1045900949482,668.0418851336432
0,1,2,2024-12-17,20:04:44,576.2328257551799,463.63321572269524,881.1292335872179,666.4071203159058
0,1,2,2024-12-17,20:04:44,592.3427791759326,462.40381315479345,855.702616536208,666.574137475777
0,1,2,2024-12-17,20:04:44,593.688043953967,460.0691558145509,860.173783697535,669.8866683169349
0,1,2,2024-12-17,20:04:44,597.9922993022251,458.1635608547248,858.4971374495695,675.5842474444646
0,1,2,2024-12-17,20:04:44,586.0836232797777,458.38082169559124,893.6871204777572,676.5861862738883
0,1,2,2024-12-17,20:04:45,608.3426027779064,457.35876508179797,865.2581985175019,679.6121229288718
0,1,2,2024-12-17,20:04:45,613.7288947430619,455.1256803104582,861.6276194047887,683.7104829953535
0,1,2,2024-12-17,20:04:45,614.4442653169233,453.4430954523269,862.6952532397297,686.9723904902328
0,1,2,2024-12-17,20:04:45,611.6883995861871,452.74697211946136,868.6258014710542,688.4251314309533
0,1,2,2024-12-17,20:04:46,573.2530160948562,452.1392861636648,945.4735863821686,690.5168437388937
